Date,Weekday,Status,Start Time,End Time,OT
20/03/2025,Thứ Năm,OT,08:20,17:50,0.5
21/03/2025,Thứ Sáu,OT,08:03,17:45,0.5
22/03/2025,Thứ Bảy,OT,07:41,21:43,13.0
23/03/2025,Chủ Nhật,Normal,:,:,0.0
24/03/2025,Thứ Hai,OT,08:09,18:46,1.5
25/03/2025,Thứ Ba,OT,08:06,18:42,1.5
26/03/2025,Thứ Tư,OT,08:20,22:27,5.0
27/03/2025,Thứ Năm,OT,07:46,22:02,5.5
28/03/2025,Thứ Sáu,OT,08:31,19:24,2.0
29/03/2025,Thứ Bảy,Normal,:,:,0.0
30/03/2025,Chủ Nhật,Normal,:,:,0.0
31/03/2025,Thứ Hai,OT,07:41,17:50,1.0
01/04/2025,Thứ Ba,OT,07:18,18:23,2.0
02/04/2025,Thứ Tư,OT,08:31,18:43,1.0
03/04/2025,Thứ Năm,Normal,08:03,17:15,0.0
04/04/2025,Thứ Sáu,Normal,08:22,08:50,0.0
